FMQ,PT,FMQ_PT,FMQCAT,,,
Abdominal Pain,Abdominal discomfort,Abdominal Pain-Abdominal discomfort,Narrow,,,
Abdominal Pain,Abdominal migraine,Abdominal Pain-Abdominal migraine,Narrow,,,
Abdominal Pain,Abdominal pain,Abdominal Pain-Abdominal pain,Narrow,,,
Abdominal Pain,Abdominal pain aggravated,Abdominal Pain-Abdominal pain aggravated,Narrow,,,
Abdominal Pain,Abdominal pain lower,Abdominal Pain-Abdominal pain lower,Narrow,,,
Abdominal Pain,Abdominal pain NOS,Abdominal Pain-Abdominal pain NOS,Narrow,,,
Abdominal Pain,Abdominal pain upper,Abdominal Pain-Abdominal pain upper,Narrow,,,
Abdominal Pain,Abdominal rebound tenderness,Abdominal Pain-Abdominal rebound tenderness,Narrow,,,
Abdominal Pain,Abdominal rigidity,Abdominal Pain-Abdominal rigidity,Narrow,,,
Abdominal Pain,Abdominal tenderness,Abdominal Pain-Abdominal tenderness,Narrow,,,
Abdominal Pain,Acute abdomen,Abdominal Pain-Acute abdomen,Narrow,,,
Abdominal Pain,Enteric neuropathy,Abdominal Pain-Enteric neuropathy,Narrow,,,
Abdominal Pain,Epigastric discomfort,Abdominal Pain-Epigastric discomfort,Narrow,,,
Abdominal Pain,Gastrointestinal discomfort,Abdominal Pain-Gastrointestinal discomfort,Narrow,,,
Abdominal Pain,Gastrointestinal pain,Abdominal Pain-Gastrointestinal pain,Narrow,,,
Abdominal Pain,Gastrointestinal pain NOS,Abdominal Pain-Gastrointestinal pain NOS,Narrow,,,
Abdominal Pain,Gastrointestinal upset,Abdominal Pain-Gastrointestinal upset,Narrow,,,
Abdominal Pain,Intestinal spasm,Abdominal Pain-Intestinal spasm,Narrow,,,
Abdominal Pain,Perihepatic discomfort,Abdominal Pain-Perihepatic discomfort,Narrow,,,
Abdominal Pain,Spleen pain,Abdominal Pain-Spleen pain,Narrow,,,
Abdominal Pain,Stomach discomfort,Abdominal Pain-Stomach discomfort,Narrow,,,
Abdominal Pain,Ulcer type pain,Abdominal Pain-Ulcer type pain,Narrow,,,
Abdominal Pain,Carnett's sign positive,Abdominal Pain-Carnett's sign positive,Broad,,,
Abdominal Pain,Complicated appendicitis,Abdominal Pain-Complicated appendicitis,Broad,,,
Abdominal Pain,Gastric irritation,Abdominal Pain-Gastric irritation,Broad,,,
Abdominal Pain,Gastritis erosive,Abdominal Pain-Gastritis erosive,Broad,,,
Abdominal Pain,Gastroenteritis escherichia coli,Abdominal Pain-Gastroenteritis escherichia coli,Broad,,,
Abdominal Pain,Gastroenteritis Escherichia coli,Abdominal Pain-Gastroenteritis Escherichia coli,Broad,,,
Abdominal Pain,Gastroenterostomy,Abdominal Pain-Gastroenterostomy,Broad,,,
Abdominal Pain,Gastro-enterostomy,Abdominal Pain-Gastro-enterostomy,Broad,,,
Abdominal Pain,Haemorrhagic erosive gastritis,Abdominal Pain-Haemorrhagic erosive gastritis,Broad,,,
Abdominal Pain,Helicobacter duodenal ulcer,Abdominal Pain-Helicobacter duodenal ulcer,Broad,,,
Abdominal Pain,Infantile colic,Abdominal Pain-Infantile colic,Broad,,,
Abdominal Pain,Large intestine infection,Abdominal Pain-Large intestine infection,Broad,,,
Abdominal Pain,Peptic ulcer,Abdominal Pain-Peptic ulcer,Broad,,,
Abdominal Pain,Ulcerative duodenitis,Abdominal Pain-Ulcerative duodenitis,Broad,,,
Abdominal Pain,Visceral pain,Abdominal Pain-Visceral pain,Broad,,,
Abdominal Pain,CRIA syndrome,Abdominal Pain-CRIA syndrome,Broad,,,
Abdominal Pain,Bauhin's valve syndrome,Abdominal Pain-Bauhin's valve syndrome,Broad,,,
Abdominal Pain,Ilioinguinal neuralgia,Abdominal Pain-Ilioinguinal neuralgia,Narrow,,,
Abdominal Pain,Yao syndrome,Abdominal Pain-Yao syndrome,Broad,,,
Abdominal Pain,Peritoneoplasty,Abdominal Pain-Peritoneoplasty,Broad,,,
Abdominal Pain,Segmental arterial mediolysis,Abdominal Pain-Segmental arterial mediolysis,Broad,,,
Abnormal Uterine Bleeding,Abnormal uterine bleeding,Abnormal Uterine Bleeding-Abnormal uterine bleeding,Narrow,,,
Abnormal Uterine Bleeding,Abnormal withdrawal bleeding,Abnormal Uterine Bleeding-Abnormal withdrawal bleeding,Narrow,,,
Abnormal Uterine Bleeding,Cervix haemorrhage uterine,Abnormal Uterine Bleeding-Cervix haemorrhage uterine,Narrow,,,
Abnormal Uterine Bleeding,Dysfunctional uterine bleeding,Abnormal Uterine Bleeding-Dysfunctional uterine bleeding,Narrow,,,
Abnormal Uterine Bleeding,Heavy menstrual bleeding,Abnormal Uterine Bleeding-Heavy menstrual bleeding,Narrow,,,
Abnormal Uterine Bleeding,Hypomenorrhoea,Abnormal Uterine Bleeding-Hypomenorrhoea,Narrow,,,
Abnormal Uterine Bleeding,Intermenstrual bleeding,Abnormal Uterine Bleeding-Intermenstrual bleeding,Narrow,,,
Abnormal Uterine Bleeding,Menometrorrhagia,Abnormal Uterine Bleeding-Menometrorrhagia,Narrow,,,
Abnormal Uterine Bleeding,Menorrhagia,Abnormal Uterine Bleeding-Menorrhagia,Narrow,,,
Abnormal Uterine Bleeding,Menstruation delayed,Abnormal Uterine Bleeding-Menstruation delayed,Narrow,,,
Abnormal Uterine Bleeding,Menstruation irregular,Abnormal Uterine Bleeding-Menstruation irregular,Narrow,,,
Abnormal Uterine Bleeding,Metrorrhagia,Abnormal Uterine Bleeding-Metrorrhagia,Narrow,,,
Abnormal Uterine Bleeding,Oligomenorrhoea,Abnormal Uterine Bleeding-Oligomenorrhoea,Narrow,,,
Abnormal Uterine Bleeding,Polymenorrhagia,Abnormal Uterine Bleeding-Polymenorrhagia,Narrow,,,
Abnormal Uterine Bleeding,Polymenorrhoea,Abnormal Uterine Bleeding-Polymenorrhoea,Narrow,,,
Abnormal Uterine Bleeding,Postmenopausal haemorrhage,Abnormal Uterine Bleeding-Postmenopausal haemorrhage,Narrow,,,
Abnormal Uterine Bleeding,Uterine haemorrhage,Abnormal Uterine Bleeding-Uterine haemorrhage,Narrow,,,
Abnormal Uterine Bleeding,Uterine rupture,Abnormal Uterine Bleeding-Uterine rupture,Narrow,,,
Abnormal Uterine Bleeding,Vaginal haemorrhage,Abnormal Uterine Bleeding-Vaginal haemorrhage,Narrow,,,
Abnormal Uterine Bleeding,Anovulatory cycle,Abnormal Uterine Bleeding-Anovulatory cycle,Broad,,,
Abnormal Uterine Bleeding,Bleeding anovulatory,Abnormal Uterine Bleeding-Bleeding anovulatory,Broad,,,
Abnormal Uterine Bleeding,Dysmenorrhea,Abnormal Uterine Bleeding-Dysmenorrhea,Broad,,,
Abnormal Uterine Bleeding,Dysmenorrhoea,Abnormal Uterine Bleeding-Dysmenorrhoea,Broad,,,
Abnormal Uterine Bleeding,Follicle-stimulating hormone deficiency,Abnormal Uterine Bleeding-Follicle-stimulating hormone deficiency,Broad,,,
Abnormal Uterine Bleeding,Follicle stimulating hormone deficiency,Abnormal Uterine Bleeding-Follicle stimulating hormone deficiency,Broad,,,
Abnormal Uterine Bleeding,Menstrual disorder,Abnormal Uterine Bleeding-Menstrual disorder,Broad,,,
Abnormal Uterine Bleeding,Uterine dehiscence,Abnormal Uterine Bleeding-Uterine dehiscence,Broad,,,
Abnormal Uterine Bleeding,Ovarian dysfunction,Abnormal Uterine Bleeding-Ovarian dysfunction,Broad,,,
Acute Coronary Syndrome,Acute coronary syndrome,Acute Coronary Syndrome-Acute coronary syndrome,Narrow,,,
Acute Coronary Syndrome,Acute myocardial infarction,Acute Coronary Syndrome-Acute myocardial infarction,Narrow,,,
Acute Coronary Syndrome,Age indeterminate myocardial infarction,Acute Coronary Syndrome-Age indeterminate myocardial infarction,Narrow,,,
